date,cumul_pax_co_del_raw,cumul_pax_co_del_100k,cumul_pax_co_adm_raw,cumul_pax_co_adm_100k,cumul_pax_id_del_raw,cumul_pax_id_del_100k,cumul_pax_id_adm_raw,cumul_pax_id_adm_100k,cumul_pax_mt_del_raw,cumul_pax_mt_del_100k,cumul_pax_mt_adm_raw,cumul_pax_mt_adm_100k,cumul_pax_nm_del_raw,cumul_pax_nm_del_100k,cumul_pax_nm_adm_raw,cumul_pax_nm_adm_100k,cumul_pax_ut_del_raw,cumul_pax_ut_del_100k,cumul_pax_ut_adm_raw,cumul_pax_ut_adm_100k,cumul_pax_wy_del_raw,cumul_pax_wy_del_100k,cumul_pax_wy_adm_raw,cumul_pax_wy_adm_100k
12/23/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/26/22,19294,333.5576183,11308.8,195.5082613,4715,255.1721749,2193.4,118.7051216,3398,312.8357483,2043.8,188.1617724,11993,566.35779,7450,351.8190224,10650,324.5285043,5308,161.7462254,1937,335.5466361,673.2,116.6184798
9/4/22,96470,1667.788092,56544,977.5413066,23575,1275.860875,10967,593.5256081,16990,1564.178742,10219,940.8088618,59965,2831.78895,37250,1759.095112,53250,1622.642521,26540,808.7311271,9685,1677.733181,3366,583.0923992
9/11/22,97890,1692.337268,58277,1007.501675,24245,1312.120759,11329,613.1167698,17350,1597.322023,10486,965.3901286,60730,2867.915333,38175,1802.77734,54730,1667.741318,27332,832.8650778,9790,1695.922337,3497,605.7855377
9/18/22,98805,1708.155928,59975,1036.856959,24430,1322.132817,11815,639.4187162,17515,1612.512693,10668,947.713712,61065,2883.735383,39110,1846.931808,55225,1682.825037,28011,853.5556745,9805,1698.520788,3658,633.6755782
9/25/22,100700,1740.916977,61709,1066.834615,25000,1352.980779,12899,698.0839627,17800,1638.751124,10851,998.9937332,61710,2914.194882,40684,1921.262431,56120,1710.097621,29161,888.5986585,9945,1722.772998,4004,693.6131807
10/2/22,102925,1779.383117,63184,1092.334641,25735,1392.758414,13340,721.9505437,18345,1688.926369,11195,1030.66398,62535,2953.154707,41421,1956.066541,56965,1735.846596,29732,905.9982619,10150,1758.285161,4089,708.3377363
10/9/22,104780,1811.45264,64749,1119.3906,26100,1412.511933,13694,741.1087515,18635,1715.625124,11462,1055.245246,63035,2976.766722,42332,1999.087632,57620,1755.805861,30353,924.9214732,10450,1810.25418,4238,734.149016
10/16/22,106425,1839.891652,66115,1143.006216,26505,1434.430222,14155,766.0577171,19070,1755.673255,11737,1080.563031,63855,3015.490426,43356,2047.445038,58580,1785.059134,30869,940.6451078,10730,1858.758599,4290,743.1569794
10/23/22,107980,1866.774729,67634,1169.26692,26815,1451.207184,14489,784.1335403,19395,1785.594273,11980,1102.934745,64425,3042.408123,44370,2095.330205,59215,1804.408956,31504,959.9949294,10755,1863.08935,4360,755.2830839
11/6/22,112970,1953.042611,71024,1227.873758,27565,1491.796607,14997,811.6261097,20000,1841.293398,12380,1139.760613,68290,3224.928999,47065,2222.598965,61600,1877.085058,32982,1005.032782,11080,1919.389121,4511,781.4408237
11/13/22,113070,1954.771426,73477,1270.281596,27565,1491.796607,15392,833.003206,20025,1843.595015,12583,1158.449741,68680,3243.34637,49029,2315.34696,61780,1882.570046,33974,1035.261165,11160,1933.247527,4607,798.07091
11/20/22,121030,2092.385122,76146,1316.423676,28415,1537.797953,15775,853.7308716,20355,1873.976356,12824,1180.637327,75605,3570.372777,51116,2413.90351,65630,1999.887862,34979,1065.885686,11490,1990.413448,4725,818.5120577
11/27/22,124860,2158.598747,78364,1354.768799,28930,1565.669357,16127,872.7808409,20520,1889.167026,13064,1202.732848,77610,3665.056957,52959,2500.937397,67445,2055.194833,35942,1095.230376,11640,2016.397958,4805,832.3704629
12/4/22,129895,2245.644596,81499,1408.967157,29795,1612.482492,16943,916.9421336,20860,1920.469014,13387,1232.469736,81330,3840.730348,55334,2613.094468,69750,2125.433162,37250,1135.087961,11935,2067.500827,4950,857.4888223
12/11/22,134995,2333.814174,83834,1449.334994,31050,1680.402128,17413,942.3781722,21140,1946.247122,13603,1252.355705,83940,3963.985066,56834,2683.930513,72885,2220.963383,38502,1173.239105,12145,2103.879141,5043,873.5992184
12/18/22,139585,2413.166795,87009,1504.224879,31930,1728.027051,17929,970.3036955,21610,1989.517517,14003,1289.181573,87325,4123.838407,59061,2789.098427,74975,2284.650198,39876,1215.107853,12465,2159.312762,5189,898.8908079
12/26/22,142910,2470.649903,89438,1546.217802,32400,1753.46309,18444,998.1750995,22140,2038.311792,14275,1314.223163,89320,4218.050346,60168,2841.375428,76830,2341.176055,40713,1240.613051,12650,2191.360324,5276,913.9618236
1/22/23,153295,2650.187369,96084,1661.114865,34940,1890.925937,20005,1082.655219,24265,2233.949215,15309,1409.418032,93905,4434.572523,65077,3073.198191,82290,2507.554048,43324,1320.175861,13230,2291.833762,5516,955.5370392
