County,County Code,Age Group,Population
"Adams County, CO",8001,0-4 years,34274
"Adams County, CO",8001,5-9 years,36719
"Adams County, CO",8001,10-14 years,39990
"Adams County, CO",8001,15-19 years,36762
"Adams County, CO",8001,20-24 years,32967
"Adams County, CO",8001,25-29 years,40517
"Adams County, CO",8001,30-34 years,43433
"Adams County, CO",8001,35-39 years,42085
"Adams County, CO",8001,40-44 years,36933
"Adams County, CO",8001,45-49 years,33447
"Adams County, CO",8001,50-54 years,30632
"Adams County, CO",8001,55-59 years,29716
"Adams County, CO",8001,60-64 years ,26888
"Adams County, CO",8001,65-69 years,20634
"Adams County, CO",8001,70-74 years,15442
"Adams County, CO",8001,75-79 years,9164
"Adams County, CO",8001,80-84 years,5578
"Adams County, CO",8001,85+ years,4982
"Alamosa County, CO",8003,0-4 years,1000
"Alamosa County, CO",8003,5-9 years,1159
"Alamosa County, CO",8003,10-14 years,1189
"Alamosa County, CO",8003,15-19 years,1467
"Alamosa County, CO",8003,20-24 years,1718
"Alamosa County, CO",8003,25-29 years,1132
"Alamosa County, CO",8003,30-34 years,1120
"Alamosa County, CO",8003,35-39 years,1012
"Alamosa County, CO",8003,40-44 years,906
"Alamosa County, CO",8003,45-49 years,756
"Alamosa County, CO",8003,50-54 years,780
"Alamosa County, CO",8003,55-59 years,904
"Alamosa County, CO",8003,60-64 years ,859
"Alamosa County, CO",8003,65-69 years,815
"Alamosa County, CO",8003,70-74 years,637
"Alamosa County, CO",8003,75-79 years,426
"Alamosa County, CO",8003,80-84 years,268
"Alamosa County, CO",8003,85+ years,214
"Arapahoe County, CO",8005,0-4 years,38400
"Arapahoe County, CO",8005,5-9 years,41287
"Arapahoe County, CO",8005,10-14 years,44997
"Arapahoe County, CO",8005,15-19 years,41355
"Arapahoe County, CO",8005,20-24 years,37989
"Arapahoe County, CO",8005,25-29 years,50059
"Arapahoe County, CO",8005,30-34 years,52229
"Arapahoe County, CO",8005,35-39 years,50974
"Arapahoe County, CO",8005,40-44 years,45893
"Arapahoe County, CO",8005,45-49 years,43459
"Arapahoe County, CO",8005,50-54 years,40705
"Arapahoe County, CO",8005,55-59 years,40391
"Arapahoe County, CO",8005,60-64 years ,38165
"Arapahoe County, CO",8005,65-69 years,31926
"Arapahoe County, CO",8005,70-74 years,24973
"Arapahoe County, CO",8005,75-79 years,14570
"Arapahoe County, CO",8005,80-84 years,8991
"Arapahoe County, CO",8005,85+ years,8749
"Archuleta County, CO",8007,0-4 years,571
"Archuleta County, CO",8007,5-9 years,687
"Archuleta County, CO",8007,10-14 years,722
"Archuleta County, CO",8007,15-19 years,644
"Archuleta County, CO",8007,20-24 years,484
"Archuleta County, CO",8007,25-29 years,543
"Archuleta County, CO",8007,30-34 years,672
"Archuleta County, CO",8007,35-39 years,796
"Archuleta County, CO",8007,40-44 years,749
"Archuleta County, CO",8007,45-49 years,704
"Archuleta County, CO",8007,50-54 years,800
"Archuleta County, CO",8007,55-59 years,1096
"Archuleta County, CO",8007,60-64 years ,1346
"Archuleta County, CO",8007,65-69 years,1378
"Archuleta County, CO",8007,70-74 years,1127
"Archuleta County, CO",8007,75-79 years,564
"Archuleta County, CO",8007,80-84 years,291
"Archuleta County, CO",8007,85+ years,250
"Baca County, CO",8009,0-4 years,195
"Baca County, CO",8009,5-9 years,223
"Baca County, CO",8009,10-14 years,243
"Baca County, CO",8009,15-19 years,182
"Baca County, CO",8009,20-24 years,175
"Baca County, CO",8009,25-29 years,177
"Baca County, CO",8009,30-34 years,178
"Baca County, CO",8009,35-39 years,206
"Baca County, CO",8009,40-44 years,185
"Baca County, CO",8009,45-49 years,163
"Baca County, CO",8009,50-54 years,187
"Baca County, CO",8009,55-59 years,224
"Baca County, CO",8009,60-64 years ,279
"Baca County, CO",8009,65-69 years,257
"Baca County, CO",8009,70-74 years,199
"Baca County, CO",8009,75-79 years,155
"Baca County, CO",8009,80-84 years,111
"Baca County, CO",8009,85+ years,147
"Bent County, CO",8011,0-4 years,210
"Bent County, CO",8011,5-9 years,212
"Bent County, CO",8011,10-14 years,297
"Bent County, CO",8011,15-19 years,255
"Bent County, CO",8011,20-24 years,381
"Bent County, CO",8011,25-29 years,465
"Bent County, CO",8011,30-34 years,415
"Bent County, CO",8011,35-39 years,435
"Bent County, CO",8011,40-44 years,389
"Bent County, CO",8011,45-49 years,419
"Bent County, CO",8011,50-54 years,363
"Bent County, CO",8011,55-59 years,358
"Bent County, CO",8011,60-64 years ,352
"Bent County, CO",8011,65-69 years,330
"Bent County, CO",8011,70-74 years,289
"Bent County, CO",8011,75-79 years,196
"Bent County, CO",8011,80-84 years,132
"Bent County, CO",8011,85+ years,137
"Boulder County, CO",8013,0-4 years,13658
"Boulder County, CO",8013,5-9 years,16457
"Boulder County, CO",8013,10-14 years,19178
"Boulder County, CO",8013,15-19 years,26561
"Boulder County, CO",8013,20-24 years,32777
"Boulder County, CO",8013,25-29 years,23844
"Boulder County, CO",8013,30-34 years,22271
"Boulder County, CO",8013,35-39 years,21120
"Boulder County, CO",8013,40-44 years,20942
"Boulder County, CO",8013,45-49 years,21145
