County,County Code,Age Group,Population
"Ada County, ID",16001,0-4 years,26488
"Ada County, ID",16001,5-9 years,30850
"Ada County, ID",16001,10-14 years,35737
"Ada County, ID",16001,15-19 years,33802
"Ada County, ID",16001,20-24 years,29576
"Ada County, ID",16001,25-29 years,34170
"Ada County, ID",16001,30-34 years,35490
"Ada County, ID",16001,35-39 years,37166
"Ada County, ID",16001,40-44 years,35008
"Ada County, ID",16001,45-49 years,32697
"Ada County, ID",16001,50-54 years,30981
"Ada County, ID",16001,55-59 years,30821
"Ada County, ID",16001,60-64 years ,29701
"Ada County, ID",16001,65-69 years,26335
"Ada County, ID",16001,70-74 years,21389
"Ada County, ID",16001,75-79 years,13209
"Ada County, ID",16001,80-84 years,7717
"Ada County, ID",16001,85+ years,6847
"Adams County, ID",16003,0-4 years,174
"Adams County, ID",16003,5-9 years,203
"Adams County, ID",16003,10-14 years,239
"Adams County, ID",16003,15-19 years,206
"Adams County, ID",16003,20-24 years,147
"Adams County, ID",16003,25-29 years,190
"Adams County, ID",16003,30-34 years,194
"Adams County, ID",16003,35-39 years,191
"Adams County, ID",16003,40-44 years,218
"Adams County, ID",16003,45-49 years,220
"Adams County, ID",16003,50-54 years,229
"Adams County, ID",16003,55-59 years,357
"Adams County, ID",16003,60-64 years ,510
"Adams County, ID",16003,65-69 years,517
"Adams County, ID",16003,70-74 years,378
"Adams County, ID",16003,75-79 years,230
"Adams County, ID",16003,80-84 years,127
"Adams County, ID",16003,85+ years,94
"Bannock County, ID",16005,0-4 years,5715
"Bannock County, ID",16005,5-9 years,6300
"Bannock County, ID",16005,10-14 years,6582
"Bannock County, ID",16005,15-19 years,6569
"Bannock County, ID",16005,20-24 years,6193
"Bannock County, ID",16005,25-29 years,6178
"Bannock County, ID",16005,30-34 years,6150
"Bannock County, ID",16005,35-39 years,6218
"Bannock County, ID",16005,40-44 years,5555
"Bannock County, ID",16005,45-49 years,4663
"Bannock County, ID",16005,50-54 years,4415
"Bannock County, ID",16005,55-59 years,4706
"Bannock County, ID",16005,60-64 years ,5031
"Bannock County, ID",16005,65-69 years,4660
"Bannock County, ID",16005,70-74 years,3567
"Bannock County, ID",16005,75-79 years,2208
"Bannock County, ID",16005,80-84 years,1323
"Bannock County, ID",16005,85+ years,1144
"Bear Lake County, ID",16007,0-4 years,425
"Bear Lake County, ID",16007,5-9 years,466
"Bear Lake County, ID",16007,10-14 years,522
"Bear Lake County, ID",16007,15-19 years,444
"Bear Lake County, ID",16007,20-24 years,312
"Bear Lake County, ID",16007,25-29 years,293
"Bear Lake County, ID",16007,30-34 years,377
"Bear Lake County, ID",16007,35-39 years,368
"Bear Lake County, ID",16007,40-44 years,355
"Bear Lake County, ID",16007,45-49 years,321
"Bear Lake County, ID",16007,50-54 years,319
"Bear Lake County, ID",16007,55-59 years,386
"Bear Lake County, ID",16007,60-64 years ,462
"Bear Lake County, ID",16007,65-69 years,421
"Bear Lake County, ID",16007,70-74 years,358
"Bear Lake County, ID",16007,75-79 years,257
"Bear Lake County, ID",16007,80-84 years,159
"Bear Lake County, ID",16007,85+ years,125
"Benewah County, ID",16009,0-4 years,507
"Benewah County, ID",16009,5-9 years,599
"Benewah County, ID",16009,10-14 years,643
"Benewah County, ID",16009,15-19 years,564
"Benewah County, ID",16009,20-24 years,405
"Benewah County, ID",16009,25-29 years,471
"Benewah County, ID",16009,30-34 years,470
"Benewah County, ID",16009,35-39 years,483
"Benewah County, ID",16009,40-44 years,525
"Benewah County, ID",16009,45-49 years,535
"Benewah County, ID",16009,50-54 years,585
"Benewah County, ID",16009,55-59 years,729
"Benewah County, ID",16009,60-64 years ,860
"Benewah County, ID",16009,65-69 years,782
"Benewah County, ID",16009,70-74 years,608
"Benewah County, ID",16009,75-79 years,424
"Benewah County, ID",16009,80-84 years,240
"Benewah County, ID",16009,85+ years,146
"Bingham County, ID",16011,0-4 years,3343
"Bingham County, ID",16011,5-9 years,4046
"Bingham County, ID",16011,10-14 years,4581
"Bingham County, ID",16011,15-19 years,3903
"Bingham County, ID",16011,20-24 years,2802
"Bingham County, ID",16011,25-29 years,2801
"Bingham County, ID",16011,30-34 years,2891
"Bingham County, ID",16011,35-39 years,3185
"Bingham County, ID",16011,40-44 years,2999
"Bingham County, ID",16011,45-49 years,2585
"Bingham County, ID",16011,50-54 years,2413
"Bingham County, ID",16011,55-59 years,2754
"Bingham County, ID",16011,60-64 years ,2850
"Bingham County, ID",16011,65-69 years,2488
"Bingham County, ID",16011,70-74 years,1782
"Bingham County, ID",16011,75-79 years,1226
"Bingham County, ID",16011,80-84 years,761
"Bingham County, ID",16011,85+ years,658
"Blaine County, ID",16013,0-4 years,1068
"Blaine County, ID",16013,5-9 years,1308
"Blaine County, ID",16013,10-14 years,1627
"Blaine County, ID",16013,15-19 years,1551
"Blaine County, ID",16013,20-24 years,1139
"Blaine County, ID",16013,25-29 years,1231
"Blaine County, ID",16013,30-34 years,1319
"Blaine County, ID",16013,35-39 years,1482
"Blaine County, ID",16013,40-44 years,1579
"Blaine County, ID",16013,45-49 years,1590
"Blaine County, ID",16013,50-54 years,1616
"Blaine County, ID",16013,55-59 years,1979
"Blaine County, ID",16013,60-64 years ,1897
"Blaine County, ID",16013,65-69 years,1697
"Blaine County, ID",16013,70-74 years,1420
"Blaine County, ID",16013,75-79 years,969
"Blaine County, ID",16013,80-84 years,503
"Blaine County, ID",16013,85+ years,352
"Boise County, ID",16015,0-4 years,260
"Boise County, ID",16015,5-9 years,283
"Boise County, ID",16015,10-14 years,377
"Boise County, ID",16015,15-19 years,404
"Boise County, ID",16015,20-24 years,257
"Boise County, ID",16015,25-29 years,257
"Boise County, ID",16015,30-34 years,333
"Boise County, ID",16015,35-39 years,390
"Boise County, ID",16015,40-44 years,428
"Boise County, ID",16015,45-49 years,442
"Boise County, ID",16015,50-54 years,537
"Boise County, ID",16015,55-59 years,713
"Boise County, ID",16015,60-64 years ,864
"Boise County, ID",16015,65-69 years,836
"Boise County, ID",16015,70-74 years,628
"Boise County, ID",16015,75-79 years,339
"Boise County, ID",16015,80-84 years,162
"Boise County, ID",16015,85+ years,137
"Bonner County, ID",16017,0-4 years,2242
"Bonner County, ID",16017,5-9 years,2538
"Bonner County, ID",16017,10-14 years,2783
"Bonner County, ID",16017,15-19 years,2531
"Bonner County, ID",16017,20-24 years,1862
"Bonner County, ID",16017,25-29 years,2107
"Bonner County, ID",16017,30-34 years,2338
"Bonner County, ID",16017,35-39 years,2628
"Bonner County, ID",16017,40-44 years,2726
"Bonner County, ID",16017,45-49 years,2696
"Bonner County, ID",16017,50-54 years,2824
"Bonner County, ID",16017,55-59 years,3621
"Bonner County, ID",16017,60-64 years ,4373
"Bonner County, ID",16017,65-69 years,4456
"Bonner County, ID",16017,70-74 years,3449
"Bonner County, ID",16017,75-79 years,2127
"Bonner County, ID",16017,80-84 years,1201
"Bonner County, ID",16017,85+ years,888
"Bonneville County, ID",16019,0-4 years,9829
"Bonneville County, ID",16019,5-9 years,10594
"Bonneville County, ID",16019,10-14 years,11444
"Bonneville County, ID",16019,15-19 years,9382
"Bonneville County, ID",16019,20-24 years,7192
"Bonneville County, ID",16019,25-29 years,8447
"Bonneville County, ID",16019,30-34 years,8503
"Bonneville County, ID",16019,35-39 years,8876
"Bonneville County, ID",16019,40-44 years,7925
"Bonneville County, ID",16019,45-49 years,6668
"Bonneville County, ID",16019,50-54 years,6041
"Bonneville County, ID",16019,55-59 years,6662
"Bonneville County, ID",16019,60-64 years ,6372
"Bonneville County, ID",16019,65-69 years,5729
"Bonneville County, ID",16019,70-74 years,4529
"Bonneville County, ID",16019,75-79 years,2927
"Bonneville County, ID",16019,80-84 years,1903
"Bonneville County, ID",16019,85+ years,1603
"Boundary County, ID",16021,0-4 years,747
"Boundary County, ID",16021,5-9 years,792
"Boundary County, ID",16021,10-14 years,783
"Boundary County, ID",16021,15-19 years,759
"Boundary County, ID",16021,20-24 years,565
"Boundary County, ID",16021,25-29 years,597
"Boundary County, ID",16021,30-34 years,530
"Boundary County, ID",16021,35-39 years,643
"Boundary County, ID",16021,40-44 years,685
"Boundary County, ID",16021,45-49 years,682
"Boundary County, ID",16021,50-54 years,711
"Boundary County, ID",16021,55-59 years,823
"Boundary County, ID",16021,60-64 years ,957
"Boundary County, ID",16021,65-69 years,1035
"Boundary County, ID",16021,70-74 years,775
"Boundary County, ID",16021,75-79 years,489
"Boundary County, ID",16021,80-84 years,274
"Boundary County, ID",16021,85+ years,266
"Butte County, ID",16023,0-4 years,138
"Butte County, ID",16023,5-9 years,159
"Butte County, ID",16023,10-14 years,197
"Butte County, ID",16023,15-19 years,177
"Butte County, ID",16023,20-24 years,118
"Butte County, ID",16023,25-29 years,111
"Butte County, ID",16023,30-34 years,126
"Butte County, ID",16023,35-39 years,134
"Butte County, ID",16023,40-44 years,155
"Butte County, ID",16023,45-49 years,126
"Butte County, ID",16023,50-54 years,120
"Butte County, ID",16023,55-59 years,173
"Butte County, ID",16023,60-64 years ,216
"Butte County, ID",16023,65-69 years,202
"Butte County, ID",16023,70-74 years,177
"Butte County, ID",16023,75-79 years,105
"Butte County, ID",16023,80-84 years,80
"Butte County, ID",16023,85+ years,63
"Camas County, ID",16025,0-4 years,41
"Camas County, ID",16025,5-9 years,64
"Camas County, ID",16025,10-14 years,91
"Camas County, ID",16025,15-19 years,66
"Camas County, ID",16025,20-24 years,34
"Camas County, ID",16025,25-29 years,36
"Camas County, ID",16025,30-34 years,48
"Camas County, ID",16025,35-39 years,69
"Camas County, ID",16025,40-44 years,80
"Camas County, ID",16025,45-49 years,70
"Camas County, ID",16025,50-54 years,60
"Camas County, ID",16025,55-59 years,87
"Camas County, ID",16025,60-64 years ,95
"Camas County, ID",16025,65-69 years,88
"Camas County, ID",16025,70-74 years,82
"Camas County, ID",16025,75-79 years,39
"Camas County, ID",16025,80-84 years,17
"Camas County, ID",16025,85+ years,22
"Canyon County, ID",16027,0-4 years,15975
"Canyon County, ID",16027,5-9 years,17909
"Canyon County, ID",16027,10-14 years,19131
"Canyon County, ID",16027,15-19 years,17739
"Canyon County, ID",16027,20-24 years,15072
"Canyon County, ID",16027,25-29 years,15973
"Canyon County, ID",16027,30-34 years,15724
"Canyon County, ID",16027,35-39 years,15508
"Canyon County, ID",16027,40-44 years,14814
"Canyon County, ID",16027,45-49 years,13592
"Canyon County, ID",16027,50-54 years,12942
"Canyon County, ID",16027,55-59 years,13139
"Canyon County, ID",16027,60-64 years ,12445
"Canyon County, ID",16027,65-69 years,11169
"Canyon County, ID",16027,70-74 years,9237
"Canyon County, ID",16027,75-79 years,6158
"Canyon County, ID",16027,80-84 years,3374
"Canyon County, ID",16027,85+ years,2813
"Caribou County, ID",16029,0-4 years,480
"Caribou County, ID",16029,5-9 years,547
"Caribou County, ID",16029,10-14 years,619
"Caribou County, ID",16029,15-19 years,518
"Caribou County, ID",16029,20-24 years,348
"Caribou County, ID",16029,25-29 years,340
"Caribou County, ID",16029,30-34 years,400
"Caribou County, ID",16029,35-39 years,473
"Caribou County, ID",16029,40-44 years,499
"Caribou County, ID",16029,45-49 years,367
"Caribou County, ID",16029,50-54 years,351
"Caribou County, ID",16029,55-59 years,406
"Caribou County, ID",16029,60-64 years ,444
"Caribou County, ID",16029,65-69 years,399
"Caribou County, ID",16029,70-74 years,326
"Caribou County, ID",16029,75-79 years,241
"Caribou County, ID",16029,80-84 years,129
"Caribou County, ID",16029,85+ years,128
"Cassia County, ID",16031,0-4 years,1957
"Cassia County, ID",16031,5-9 years,2077
"Cassia County, ID",16031,10-14 years,2328
"Cassia County, ID",16031,15-19 years,2100
"Cassia County, ID",16031,20-24 years,1532
"Cassia County, ID",16031,25-29 years,1550
"Cassia County, ID",16031,30-34 years,1386
"Cassia County, ID",16031,35-39 years,1588
"Cassia County, ID",16031,40-44 years,1490
"Cassia County, ID",16031,45-49 years,1320
"Cassia County, ID",16031,50-54 years,1153
"Cassia County, ID",16031,55-59 years,1280
"Cassia County, ID",16031,60-64 years ,1394
"Cassia County, ID",16031,65-69 years,1150
"Cassia County, ID",16031,70-74 years,933
"Cassia County, ID",16031,75-79 years,652
"Cassia County, ID",16031,80-84 years,421
"Cassia County, ID",16031,85+ years,388
"Clark County, ID",16033,0-4 years,56
"Clark County, ID",16033,5-9 years,42
"Clark County, ID",16033,10-14 years,56
"Clark County, ID",16033,15-19 years,54
"Clark County, ID",16033,20-24 years,44
"Clark County, ID",16033,25-29 years,42
"Clark County, ID",16033,30-34 years,50
"Clark County, ID",16033,35-39 years,61
"Clark County, ID",16033,40-44 years,45
"Clark County, ID",16033,45-49 years,49
"Clark County, ID",16033,50-54 years,48
"Clark County, ID",16033,55-59 years,54
"Clark County, ID",16033,60-64 years ,46
"Clark County, ID",16033,65-69 years,50
"Clark County, ID",16033,70-74 years,31
"Clark County, ID",16033,75-79 years,24
"Clark County, ID",16033,80-84 years,21
"Clark County, ID",16033,85+ years,19
"Clearwater County, ID",16035,0-4 years,321
"Clearwater County, ID",16035,5-9 years,337
"Clearwater County, ID",16035,10-14 years,405
"Clearwater County, ID",16035,15-19 years,454
"Clearwater County, ID",16035,20-24 years,345
"Clearwater County, ID",16035,25-29 years,509
"Clearwater County, ID",16035,30-34 years,440
"Clearwater County, ID",16035,35-39 years,485
"Clearwater County, ID",16035,40-44 years,487
"Clearwater County, ID",16035,45-49 years,458
"Clearwater County, ID",16035,50-54 years,594
"Clearwater County, ID",16035,55-59 years,725
"Clearwater County, ID",16035,60-64 years ,755
"Clearwater County, ID",16035,65-69 years,740
"Clearwater County, ID",16035,70-74 years,697
"Clearwater County, ID",16035,75-79 years,464
"Clearwater County, ID",16035,80-84 years,277
"Clearwater County, ID",16035,85+ years,257
"Custer County, ID",16037,0-4 years,181
"Custer County, ID",16037,5-9 years,200
"Custer County, ID",16037,10-14 years,212
"Custer County, ID",16037,15-19 years,198
"Custer County, ID",16037,20-24 years,136
"Custer County, ID",16037,25-29 years,156
"Custer County, ID",16037,30-34 years,201
"Custer County, ID",16037,35-39 years,215
"Custer County, ID",16037,40-44 years,213
"Custer County, ID",16037,45-49 years,239
"Custer County, ID",16037,50-54 years,232
"Custer County, ID",16037,55-59 years,322
"Custer County, ID",16037,60-64 years ,440
"Custer County, ID",16037,65-69 years,455
"Custer County, ID",16037,70-74 years,397
"Custer County, ID",16037,75-79 years,235
"Custer County, ID",16037,80-84 years,116
"Custer County, ID",16037,85+ years,118
"Elmore County, ID",16039,0-4 years,2192
"Elmore County, ID",16039,5-9 years,2034
"Elmore County, ID",16039,10-14 years,1907
"Elmore County, ID",16039,15-19 years,1770
"Elmore County, ID",16039,20-24 years,2548
"Elmore County, ID",16039,25-29 years,2588
"Elmore County, ID",16039,30-34 years,2158
"Elmore County, ID",16039,35-39 years,1849
"Elmore County, ID",16039,40-44 years,1530
"Elmore County, ID",16039,45-49 years,1348
"Elmore County, ID",16039,50-54 years,1412
"Elmore County, ID",16039,55-59 years,1729
"Elmore County, ID",16039,60-64 years ,1587
"Elmore County, ID",16039,65-69 years,1413
"Elmore County, ID",16039,70-74 years,1056
"Elmore County, ID",16039,75-79 years,734
"Elmore County, ID",16039,80-84 years,472
"Elmore County, ID",16039,85+ years,341
"Franklin County, ID",16041,0-4 years,1038
"Franklin County, ID",16041,5-9 years,1159
"Franklin County, ID",16041,10-14 years,1402
"Franklin County, ID",16041,15-19 years,1282
"Franklin County, ID",16041,20-24 years,823
"Franklin County, ID",16041,25-29 years,796
"Franklin County, ID",16041,30-34 years,760
"Franklin County, ID",16041,35-39 years,845
"Franklin County, ID",16041,40-44 years,1012
"Franklin County, ID",16041,45-49 years,793
"Franklin County, ID",16041,50-54 years,737
"Franklin County, ID",16041,55-59 years,787
"Franklin County, ID",16041,60-64 years ,801
"Franklin County, ID",16041,65-69 years,665
"Franklin County, ID",16041,70-74 years,526
"Franklin County, ID",16041,75-79 years,382
"Franklin County, ID",16041,80-84 years,237
"Franklin County, ID",16041,85+ years,224
"Fremont County, ID",16043,0-4 years,804
"Fremont County, ID",16043,5-9 years,817
"Fremont County, ID",16043,10-14 years,965
"Fremont County, ID",16043,15-19 years,1058
"Fremont County, ID",16043,20-24 years,807
"Fremont County, ID",16043,25-29 years,822
"Fremont County, ID",16043,30-34 years,722
"Fremont County, ID",16043,35-39 years,822
"Fremont County, ID",16043,40-44 years,897
"Fremont County, ID",16043,45-49 years,760
"Fremont County, ID",16043,50-54 years,801
"Fremont County, ID",16043,55-59 years,853
"Fremont County, ID",16043,60-64 years ,924
"Fremont County, ID",16043,65-69 years,824
"Fremont County, ID",16043,70-74 years,600
