County,County Code,Age Group,Population
"Bernalillo County, NM",35001,0-4 years,35580
"Bernalillo County, NM",35001,5-9 years,39123
"Bernalillo County, NM",35001,10-14 years,43630
"Bernalillo County, NM",35001,15-19 years,43221
"Bernalillo County, NM",35001,20-24 years,43219
"Bernalillo County, NM",35001,25-29 years,48819
"Bernalillo County, NM",35001,30-34 years,50223
"Bernalillo County, NM",35001,35-39 years,48765
"Bernalillo County, NM",35001,40-44 years,42620
"Bernalillo County, NM",35001,45-49 years,39859
"Bernalillo County, NM",35001,50-54 years,39825
"Bernalillo County, NM",35001,55-59 years,44137
"Bernalillo County, NM",35001,60-64 years ,43442
"Bernalillo County, NM",35001,65-69 years,38305
"Bernalillo County, NM",35001,70-74 years,31671
"Bernalillo County, NM",35001,75-79 years,19841
"Bernalillo County, NM",35001,80-84 years,12481
"Bernalillo County, NM",35001,85+ years,11820
"Catron County, NM",35003,0-4 years,82
"Catron County, NM",35003,5-9 years,126
"Catron County, NM",35003,10-14 years,136
"Catron County, NM",35003,15-19 years,137
"Catron County, NM",35003,20-24 years,126
"Catron County, NM",35003,25-29 years,137
"Catron County, NM",35003,30-34 years,110
"Catron County, NM",35003,35-39 years,101
"Catron County, NM",35003,40-44 years,136
"Catron County, NM",35003,45-49 years,139
"Catron County, NM",35003,50-54 years,149
"Catron County, NM",35003,55-59 years,295
"Catron County, NM",35003,60-64 years ,396
"Catron County, NM",35003,65-69 years,464
"Catron County, NM",35003,70-74 years,464
"Catron County, NM",35003,75-79 years,327
"Catron County, NM",35003,80-84 years,171
"Catron County, NM",35003,85+ years,116
"Chaves County, NM",35005,0-4 years,4225
"Chaves County, NM",35005,5-9 years,4531
"Chaves County, NM",35005,10-14 years,5089
"Chaves County, NM",35005,15-19 years,5391
"Chaves County, NM",35005,20-24 years,4201
"Chaves County, NM",35005,25-29 years,4229
"Chaves County, NM",35005,30-34 years,4114
"Chaves County, NM",35005,35-39 years,4273
"Chaves County, NM",35005,40-44 years,3935
"Chaves County, NM",35005,45-49 years,3537
"Chaves County, NM",35005,50-54 years,3531
"Chaves County, NM",35005,55-59 years,3996
"Chaves County, NM",35005,60-64 years ,3921
"Chaves County, NM",35005,65-69 years,3348
"Chaves County, NM",35005,70-74 years,2655
"Chaves County, NM",35005,75-79 years,1734
"Chaves County, NM",35005,80-84 years,1227
"Chaves County, NM",35005,85+ years,1231
"Cibola County, NM",35006,0-4 years,1509
"Cibola County, NM",35006,5-9 years,1876
"Cibola County, NM",35006,10-14 years,1891
"Cibola County, NM",35006,15-19 years,1676
"Cibola County, NM",35006,20-24 years,1701
"Cibola County, NM",35006,25-29 years,1936
"Cibola County, NM",35006,30-34 years,1929
"Cibola County, NM",35006,35-39 years,1796
"Cibola County, NM",35006,40-44 years,1750
"Cibola County, NM",35006,45-49 years,1491
"Cibola County, NM",35006,50-54 years,1518
"Cibola County, NM",35006,55-59 years,1645
"Cibola County, NM",35006,60-64 years ,1789
"Cibola County, NM",35006,65-69 years,1567
"Cibola County, NM",35006,70-74 years,1186
"Cibola County, NM",35006,75-79 years,767
"Cibola County, NM",35006,80-84 years,534
"Cibola County, NM",35006,85+ years,515
"Colfax County, NM",35007,0-4 years,526
"Colfax County, NM",35007,5-9 years,584
"Colfax County, NM",35007,10-14 years,674
"Colfax County, NM",35007,15-19 years,641
"Colfax County, NM",35007,20-24 years,599
"Colfax County, NM",35007,25-29 years,675
"Colfax County, NM",35007,30-34 years,635
"Colfax County, NM",35007,35-39 years,638
"Colfax County, NM",35007,40-44 years,575
"Colfax County, NM",35007,45-49 years,616
"Colfax County, NM",35007,50-54 years,725
"Colfax County, NM",35007,55-59 years,925
"Colfax County, NM",35007,60-64 years ,1076
"Colfax County, NM",35007,65-69 years,1110
"Colfax County, NM",35007,70-74 years,931
"Colfax County, NM",35007,75-79 years,619
"Colfax County, NM",35007,80-84 years,421
"Colfax County, NM",35007,85+ years,362
"Curry County, NM",35009,0-4 years,3768
"Curry County, NM",35009,5-9 years,3579
"Curry County, NM",35009,10-14 years,3484
"Curry County, NM",35009,15-19 years,3300
"Curry County, NM",35009,20-24 years,4528
"Curry County, NM",35009,25-29 years,4356
"Curry County, NM",35009,30-34 years,3800
"Curry County, NM",35009,35-39 years,3229
"Curry County, NM",35009,40-44 years,2595
"Curry County, NM",35009,45-49 years,2264
"Curry County, NM",35009,50-54 years,2184
"Curry County, NM",35009,55-59 years,2602
"Curry County, NM",35009,60-64 years ,2471
"Curry County, NM",35009,65-69 years,1953
"Curry County, NM",35009,70-74 years,1622
"Curry County, NM",35009,75-79 years,1064
"Curry County, NM",35009,80-84 years,807
"Curry County, NM",35009,85+ years,719
"DeBaca County, NM",35011,0-4 years,69
"DeBaca County, NM",35011,5-9 years,105
"DeBaca County, NM",35011,10-14 years,120
"DeBaca County, NM",35011,15-19 years,105
"DeBaca County, NM",35011,20-24 years,77
"DeBaca County, NM",35011,25-29 years,73
"DeBaca County, NM",35011,30-34 years,60
"DeBaca County, NM",35011,35-39 years,101
"DeBaca County, NM",35011,40-44 years,75
"DeBaca County, NM",35011,45-49 years,69
"DeBaca County, NM",35011,50-54 years,86
"DeBaca County, NM",35011,55-59 years,130
"DeBaca County, NM",35011,60-64 years ,125
"DeBaca County, NM",35011,65-69 years,132
"DeBaca County, NM",35011,70-74 years,135
"DeBaca County, NM",35011,75-79 years,98
"DeBaca County, NM",35011,80-84 years,58
"DeBaca County, NM",35011,85+ years,60
"Dona Ana County, NM",35013,0-4 years,13412
"Dona Ana County, NM",35013,5-9 years,14689
"Dona Ana County, NM",35013,10-14 years,15825
"Dona Ana County, NM",35013,15-19 years,17898
"Dona Ana County, NM",35013,20-24 years,22880
"Dona Ana County, NM",35013,25-29 years,15781
"Dona Ana County, NM",35013,30-34 years,12880
"Dona Ana County, NM",35013,35-39 years,13241
"Dona Ana County, NM",35013,40-44 years,11649
"Dona Ana County, NM",35013,45-49 years,11175
"Dona Ana County, NM",35013,50-54 years,10802
"Dona Ana County, NM",35013,55-59 years,12036
"Dona Ana County, NM",35013,60-64 years ,11963
"Dona Ana County, NM",35013,65-69 years,11189
"Dona Ana County, NM",35013,70-74 years,9790
"Dona Ana County, NM",35013,75-79 years,6610
"Dona Ana County, NM",35013,80-84 years,4311
"Dona Ana County, NM",35013,85+ years,3768
"Eddy County, NM",35015,0-4 years,4464
"Eddy County, NM",35015,5-9 years,4733
"Eddy County, NM",35015,10-14 years,4764
"Eddy County, NM",35015,15-19 years,4275
"Eddy County, NM",35015,20-24 years,3877
"Eddy County, NM",35015,25-29 years,4475
"Eddy County, NM",35015,30-34 years,4400
"Eddy County, NM",35015,35-39 years,4463
"Eddy County, NM",35015,40-44 years,3836
"Eddy County, NM",35015,45-49 years,3339
"Eddy County, NM",35015,50-54 years,3406
"Eddy County, NM",35015,55-59 years,3753
"Eddy County, NM",35015,60-64 years ,3643
"Eddy County, NM",35015,65-69 years,3035
"Eddy County, NM",35015,70-74 years,2230
"Eddy County, NM",35015,75-79 years,1525
"Eddy County, NM",35015,80-84 years,1028
"Eddy County, NM",35015,85+ years,1011
"Grant County, NM",35017,0-4 years,1338
"Grant County, NM",35017,5-9 years,1545
"Grant County, NM",35017,10-14 years,1693
"Grant County, NM",35017,15-19 years,1650
"Grant County, NM",35017,20-24 years,1479
"Grant County, NM",35017,25-29 years,1365
"Grant County, NM",35017,30-34 years,1299
"Grant County, NM",35017,35-39 years,1459
"Grant County, NM",35017,40-44 years,1509
"Grant County, NM",35017,45-49 years,1409
"Grant County, NM",35017,50-54 years,1408
"Grant County, NM",35017,55-59 years,1850
"Grant County, NM",35017,60-64 years ,2185
"Grant County, NM",35017,65-69 years,2440
"Grant County, NM",35017,70-74 years,2235
"Grant County, NM",35017,75-79 years,1576
"Grant County, NM",35017,80-84 years,944
"Grant County, NM",35017,85+ years,825
"Guadalupe County, NM",35019,0-4 years,213
"Guadalupe County, NM",35019,5-9 years,246
"Guadalupe County, NM",35019,10-14 years,287
"Guadalupe County, NM",35019,15-19 years,275
"Guadalupe County, NM",35019,20-24 years,259
"Guadalupe County, NM",35019,25-29 years,308
"Guadalupe County, NM",35019,30-34 years,339
"Guadalupe County, NM",35019,35-39 years,326
"Guadalupe County, NM",35019,40-44 years,274
"Guadalupe County, NM",35019,45-49 years,217
"Guadalupe County, NM",35019,50-54 years,221
"Guadalupe County, NM",35019,55-59 years,297
"Guadalupe County, NM",35019,60-64 years ,302
"Guadalupe County, NM",35019,65-69 years,258
"Guadalupe County, NM",35019,70-74 years,213
"Guadalupe County, NM",35019,75-79 years,161
"Guadalupe County, NM",35019,80-84 years,142
"Guadalupe County, NM",35019,85+ years,109
"Harding County, NM",35021,0-4 years,20
"Harding County, NM",35021,5-9 years,29
"Harding County, NM",35021,10-14 years,23
"Harding County, NM",35021,15-19 years,11
"Harding County, NM",35021,20-24 years,20
"Harding County, NM",35021,25-29 years,28
"Harding County, NM",35021,30-34 years,21
"Harding County, NM",35021,35-39 years,44
"Harding County, NM",35021,40-44 years,29
"Harding County, NM",35021,45-49 years,16
