County,County Code,Age Group,Population
"Beaver County, UT",49001,0-4 years,534
"Beaver County, UT",49001,5-9 years,604
"Beaver County, UT",49001,10-14 years,690
"Beaver County, UT",49001,15-19 years,629
"Beaver County, UT",49001,20-24 years,435
"Beaver County, UT",49001,25-29 years,368
"Beaver County, UT",49001,30-34 years,338
"Beaver County, UT",49001,35-39 years,453
"Beaver County, UT",49001,40-44 years,463
"Beaver County, UT",49001,45-49 years,356
"Beaver County, UT",49001,50-54 years,311
"Beaver County, UT",49001,55-59 years,401
"Beaver County, UT",49001,60-64 years ,437
"Beaver County, UT",49001,65-69 years,377
"Beaver County, UT",49001,70-74 years,285
"Beaver County, UT",49001,75-79 years,195
"Beaver County, UT",49001,80-84 years,122
"Beaver County, UT",49001,85+ years,78
"Box Elder County, UT",49003,0-4 years,4424
"Box Elder County, UT",49003,5-9 years,4964
"Box Elder County, UT",49003,10-14 years,5556
"Box Elder County, UT",49003,15-19 years,4647
"Box Elder County, UT",49003,20-24 years,3627
"Box Elder County, UT",49003,25-29 years,3711
"Box Elder County, UT",49003,30-34 years,3482
"Box Elder County, UT",49003,35-39 years,4107
"Box Elder County, UT",49003,40-44 years,3949
"Box Elder County, UT",49003,45-49 years,3093
"Box Elder County, UT",49003,50-54 years,2724
"Box Elder County, UT",49003,55-59 years,3070
"Box Elder County, UT",49003,60-64 years ,3102
"Box Elder County, UT",49003,65-69 years,2594
"Box Elder County, UT",49003,70-74 years,1814
"Box Elder County, UT",49003,75-79 years,1360
"Box Elder County, UT",49003,80-84 years,948
"Box Elder County, UT",49003,85+ years,736
"Cache County, UT",49005,0-4 years,10437
"Cache County, UT",49005,5-9 years,11130
"Cache County, UT",49005,10-14 years,11738
"Cache County, UT",49005,15-19 years,13025
"Cache County, UT",49005,20-24 years,18781
"Cache County, UT",49005,25-29 years,10698
"Cache County, UT",49005,30-34 years,7476
"Cache County, UT",49005,35-39 years,8116
"Cache County, UT",49005,40-44 years,7800
"Cache County, UT",49005,45-49 years,6215
"Cache County, UT",49005,50-54 years,5057
"Cache County, UT",49005,55-59 years,5071
"Cache County, UT",49005,60-64 years ,4889
"Cache County, UT",49005,65-69 years,4431
