County,County Code,Age Group,Population
"Albany County, WY",56001,0-4 years,1641
"Albany County, WY",56001,5-9 years,1653
"Albany County, WY",56001,10-14 years,1686
"Albany County, WY",56001,15-19 years,3223
"Albany County, WY",56001,20-24 years,7783
"Albany County, WY",56001,25-29 years,3380
"Albany County, WY",56001,30-34 years,2364
"Albany County, WY",56001,35-39 years,2178
"Albany County, WY",56001,40-44 years,1893
"Albany County, WY",56001,45-49 years,1586
"Albany County, WY",56001,50-54 years,1523
"Albany County, WY",56001,55-59 years,1613
"Albany County, WY",56001,60-64 years ,1878
"Albany County, WY",56001,65-69 years,1780
"Albany County, WY",56001,70-74 years,1281
"Albany County, WY",56001,75-79 years,743
"Albany County, WY",56001,80-84 years,488
"Albany County, WY",56001,85+ years,386
"Big Horn County, WY",56003,0-4 years,632
"Big Horn County, WY",56003,5-9 years,786
"Big Horn County, WY",56003,10-14 years,856
"Big Horn County, WY",56003,15-19 years,807
"Big Horn County, WY",56003,20-24 years,574
"Big Horn County, WY",56003,25-29 years,537
"Big Horn County, WY",56003,30-34 years,618
"Big Horn County, WY",56003,35-39 years,692
"Big Horn County, WY",56003,40-44 years,688
"Big Horn County, WY",56003,45-49 years,576
"Big Horn County, WY",56003,50-54 years,643
"Big Horn County, WY",56003,55-59 years,784
"Big Horn County, WY",56003,60-64 years ,825
"Big Horn County, WY",56003,65-69 years,799
"Big Horn County, WY",56003,70-74 years,645
"Big Horn County, WY",56003,75-79 years,456
"Big Horn County, WY",56003,80-84 years,280
"Big Horn County, WY",56003,85+ years,269
"Campbell County, WY",56005,0-4 years,3247
"Campbell County, WY",56005,5-9 years,3433
"Campbell County, WY",56005,10-14 years,3945
"Campbell County, WY",56005,15-19 years,3285
"Campbell County, WY",56005,20-24 years,2689
"Campbell County, WY",56005,25-29 years,3125
"Campbell County, WY",56005,30-34 years,3546
"Campbell County, WY",56005,35-39 years,3741
"Campbell County, WY",56005,40-44 years,3219
"Campbell County, WY",56005,45-49 years,2753
"Campbell County, WY",56005,50-54 years,2510
"Campbell County, WY",56005,55-59 years,3013
"Campbell County, WY",56005,60-64 years ,3248
"Campbell County, WY",56005,65-69 years,2355
"Campbell County, WY",56005,70-74 years,1471
"Campbell County, WY",56005,75-79 years,742
"Campbell County, WY",56005,80-84 years,425
"Campbell County, WY",56005,85+ years,369
"Carbon County, WY",56007,0-4 years,876
"Carbon County, WY",56007,5-9 years,906
"Carbon County, WY",56007,10-14 years,964
"Carbon County, WY",56007,15-19 years,849
"Carbon County, WY",56007,20-24 years,795
"Carbon County, WY",56007,25-29 years,930
"Carbon County, WY",56007,30-34 years,1040
"Carbon County, WY",56007,35-39 years,1014
"Carbon County, WY",56007,40-44 years,940
"Carbon County, WY",56007,45-49 years,832
"Carbon County, WY",56007,50-54 years,765
"Carbon County, WY",56007,55-59 years,963
"Carbon County, WY",56007,60-64 years ,1061
"Carbon County, WY",56007,65-69 years,896
"Carbon County, WY",56007,70-74 years,713
"Carbon County, WY",56007,75-79 years,451
"Carbon County, WY",56007,80-84 years,266
"Carbon County, WY",56007,85+ years,238
"Converse County, WY",56009,0-4 years,829
"Converse County, WY",56009,5-9 years,969
"Converse County, WY",56009,10-14 years,997
"Converse County, WY",56009,15-19 years,841
"Converse County, WY",56009,20-24 years,680
"Converse County, WY",56009,25-29 years,800
"Converse County, WY",56009,30-34 years,882
"Converse County, WY",56009,35-39 years,914
"Converse County, WY",56009,40-44 years,820
"Converse County, WY",56009,45-49 years,794
"Converse County, WY",56009,50-54 years,841
"Converse County, WY",56009,55-59 years,942
"Converse County, WY",56009,60-64 years ,1035
"Converse County, WY",56009,65-69 years,844
"Converse County, WY",56009,70-74 years,640
"Converse County, WY",56009,75-79 years,394
"Converse County, WY",56009,80-84 years,265
"Converse County, WY",56009,85+ years,237
"Crook County, WY",56011,0-4 years,488
"Crook County, WY",56011,5-9 years,515
"Crook County, WY",56011,10-14 years,500
"Crook County, WY",56011,15-19 years,414
"Crook County, WY",56011,20-24 years,279
"Crook County, WY",56011,25-29 years,319
"Crook County, WY",56011,30-34 years,396
"Crook County, WY",56011,35-39 years,373
"Crook County, WY",56011,40-44 years,369
"Crook County, WY",56011,45-49 years,339
"Crook County, WY",56011,50-54 years,451
"Crook County, WY",56011,55-59 years,558
"Crook County, WY",56011,60-64 years ,642
"Crook County, WY",56011,65-69 years,563
"Crook County, WY",56011,70-74 years,404
"Crook County, WY",56011,75-79 years,272
"Crook County, WY",56011,80-84 years,155
"Crook County, WY",56011,85+ years,141
"Fremont County, WY",56013,0-4 years,2529
"Fremont County, WY",56013,5-9 years,2736
"Fremont County, WY",56013,10-14 years,3048
"Fremont County, WY",56013,15-19 years,2633
"Fremont County, WY",56013,20-24 years,2072
"Fremont County, WY",56013,25-29 years,2084
"Fremont County, WY",56013,30-34 years,2278
"Fremont County, WY",56013,35-39 years,2473
"Fremont County, WY",56013,40-44 years,2209
"Fremont County, WY",56013,45-49 years,2044
"Fremont County, WY",56013,50-54 years,2167
"Fremont County, WY",56013,55-59 years,2548
"Fremont County, WY",56013,60-64 years ,2816
"Fremont County, WY",56013,65-69 years,2663
"Fremont County, WY",56013,70-74 years,2040
"Fremont County, WY",56013,75-79 years,1306
"Fremont County, WY",56013,80-84 years,810
"Fremont County, WY",56013,85+ years,721
"Goshen County, WY",56015,0-4 years,618
"Goshen County, WY",56015,5-9 years,672
"Goshen County, WY",56015,10-14 years,751
"Goshen County, WY",56015,15-19 years,810
"Goshen County, WY",56015,20-24 years,778
"Goshen County, WY",56015,25-29 years,668
"Goshen County, WY",56015,30-34 years,735
"Goshen County, WY",56015,35-39 years,751
"Goshen County, WY",56015,40-44 years,708
"Goshen County, WY",56015,45-49 years,715
"Goshen County, WY",56015,50-54 years,713
"Goshen County, WY",56015,55-59 years,811
"Goshen County, WY",56015,60-64 years ,953
"Goshen County, WY",56015,65-69 years,847
"Goshen County, WY",56015,70-74 years,710
"Goshen County, WY",56015,75-79 years,520
"Goshen County, WY",56015,80-84 years,371
"Goshen County, WY",56015,85+ years,372
"Hot Springs County, WY",56017,0-4 years,232
"Hot Springs County, WY",56017,5-9 years,285
"Hot Springs County, WY",56017,10-14 years,313
"Hot Springs County, WY",56017,15-19 years,257
"Hot Springs County, WY",56017,20-24 years,186
"Hot Springs County, WY",56017,25-29 years,191
"Hot Springs County, WY",56017,30-34 years,234
"Hot Springs County, WY",56017,35-39 years,227
"Hot Springs County, WY",56017,40-44 years,237
